4.6,3.5,1.7,0.2,kubernetes
5.4,3.0,1.6,0.1,kubernetes
4.2,2.7,1.8,0.2,kubernetes
5.1,2.6,1.8,0.3,kubernetes
5.5,3.1,1.9,0.2,kubernetes
4.9,3.4,1.2,0.4,kubernetes
5.1,2.9,1.9,0.3,kubernetes
5.0,3.6,1.7,0.1,kubernetes
3.9,3.4,1.0,0.2,kubernetes
4.4,3.6,1.2,0.3,kubernetes
5.7,3.2,1.4,0.4,kubernetes
4.8,3.4,1.6,0.2,kubernetes
4.8,3.0,1.4,0.1,kubernetes
4.3,3.0,1.1,0.1,kubernetes
5.8,4.0,1.2,0.2,kubernetes
5.7,4.4,1.5,0.4,kubernetes
5.4,3.9,1.3,0.4,kubernetes
5.1,3.5,1.4,0.3,kubernetes
5.7,3.8,1.7,0.3,kubernetes
5.1,3.8,1.5,0.3,kubernetes
5.0,2.5,1.7,0.2,kubernetes
4.6,3.1,1.3,0.1,kubernetes
4.1,3.3,1.1,0.2,kubernetes
5.2,3.3,1.4,0.5,kubernetes
5.3,3.2,2.1,0.6,kubernetes
4.8,3.2,1.4,0.4,kubernetes
5.4,3.2,1.3,0.3,kubernetes
4.8,2.7,1.7,0.2,kubernetes
5.0,3.2,1.2,0.1,kubernetes
4.4,3.7,1.1,0.3,kubernetes
4.8,3.1,1.6,0.2,kubernetes
5.4,3.4,1.5,0.4,kubernetes
5.2,4.1,1.5,0.1,kubernetes
5.5,4.2,1.4,0.2,kubernetes
4.9,3.1,1.5,0.1,kubernetes
5.0,3.2,1.2,0.2,kubernetes
5.5,3.5,1.3,0.2,kubernetes
4.9,3.1,1.5,0.1,kubernetes
4.4,3.0,1.3,0.2,kubernetes
4.3,3.7,1.6,0.3,kubernetes
4.5,3.0,1.2,0.2,kubernetes
5.0,2.5,1.7,0.4,kubernetes
4.3,3.1,1.4,0.5,kubernetes
5.1,3.6,1.5,0.6,kubernetes
4.7,3.3,1.8,0.4,kubernetes
4.6,3.2,1.5,0.3,kubernetes
5.0,3.9,1.7,0.1,kubernetes
4.5,3.3,1.7,0.3,kubernetes
5.1,3.5,1.8,0.2,kubernetes
4.5,3.5,1.6,0.1,kubernetes
4.3,3.4,1.3,0.2,kubernetes
5.1,3.6,1.4,0.3,kubernetes
4.7,3.0,1.6,0.5,kubernetes
4.2,2.5,1.3,0.4,kubernetes
4.1,3.5,1.0,0.1,kubernetes
3.2,2.1,1.9,0.2,kubernetes
4.0,2.3,1.3,0.6,kubernetes
3.3,2.1,1.1,0.1,kubernetes
7.0,3.2,4.7,1.4,kubernetes
6.4,3.2,4.5,1.5,kubernetes
6.9,3.1,4.9,1.5,kubernetes
5.5,2.3,4.0,1.3,kubernetes
6.5,2.8,4.6,1.5,docker
5.7,2.8,4.5,1.3,docker
6.3,3.3,4.7,1.6,docker
4.9,2.4,3.3,1.0,docker
6.6,2.9,4.6,1.3,docker
5.2,2.7,3.9,1.4,docker
5.0,2.0,3.5,1.0,docker
5.9,3.0,4.2,1.5,docker
6.0,2.2,4.0,1.0,docker
6.1,2.9,4.7,1.4,docker
5.6,2.9,3.6,1.3,docker
6.7,3.1,4.4,1.4,docker
5.6,3.0,4.5,1.5,docker
5.8,2.7,4.1,1.0,docker
6.2,2.2,4.5,1.5,docker
5.6,2.5,3.9,1.1,docker
5.9,3.2,4.8,1.8,docker
6.1,2.8,4.0,1.3,docker
6.3,2.5,4.9,1.5,docker
6.1,2.8,4.7,1.2,docker
6.4,2.9,4.3,1.3,docker
6.6,3.0,4.4,1.4,docker
6.8,2.8,4.8,1.4,docker
6.7,3.0,5.0,1.7,docker
6.0,2.9,4.5,1.5,docker
5.7,2.6,3.5,1.0,docker
5.5,2.4,3.8,1.1,docker
5.5,2.4,3.7,1.0,docker
